predictions,references
"user: @Delta I just need two bags put on my account. I've been hung up on now 4 times while they try and transfer me. agent: @216496 Hello, Abby. Sorry for the trouble. Are you attempting to pay for two bags? *ARD user: @Delta After a long wait, i waited for the call back, i again was hung up on. agent: @216496...airport. *ARD 2/2",The customer is complaining that he was attempting to pay for 2 bags unfortunately he can't able to pay. The agent told that they are able to assist with adding the bag.
"user: @Safaricom_Care On went to buy a Lip na mpesa wrist band in your shop in Thika and was sent to Annas Mall where i dint find your Team! agent: @206424 Apologies for this, check with any M-PESA Agent, or Safaricom authorized dealer. You may also go back to our shop in Thika to verify whether we have restocked.",Customer is complaining for not finding the M-PESA wrist band in the local store. Agent requests to check with the M-PESA agent or with an authorized dealer.
"user: @idea_cares why am i not having no network since two days. also I am so dissatisfied with your service. agent: @229403 Sorry for the inconvenience caused to you. we request you to please share your idea number and alternate number. so, we can assist you better.","Customer is dissatisfied with the service and also complaints about the network which is not available from 2 days. Agents updates that they are unable to reach out to them with the contact given, and requests to kindly get back for further assistance."
user: The new @115858 update made it so my car can’t control my @115888. agent: @460751 We'd like to help. Is your iPhone updated to the latest version of iOS 11.0.3? user: @AppleSupport No updates available  agent: @460751 Are there any firmware updates for your car available? user: @AppleSupport No updates available  agent: @460751 Are there any firmware updates for your car available?,The customer is facing an issue with new app update that his car cant control some of the apps. Agent is asking whether any firmware updates for the car is available and asks to know if any in DM.
"user: @116245 Could someone kindly ask Stratford Upon Avon to answer their phone! 40 minutes of just ringing out constantly. thanks! agent: @721013 Hi, your ebay item will be held until the store closes on that day.",Customer is asking 40 minutes ringing out constantly  and click and collect ebay through ebay expires tomorrow. Agent is replying that ebay item will held until the store closes on that day.
summarize the following conversation. user: @AppleSupport @115858 can someone explain to me what exactly updated with the watchOS 4.1 update for the apple watch series 2? agent: @477474 You can learn more about the watchOS 4.1 update here: https://t.co/QVZBdH6Nb7. user: @AppleSupport @115858 Can I stream music with Apple Music? agent: @477474 Yes. You can absolutely stream music via Apple,Customer is asking an update of an apple watch n asking about music service. Agent has explained about music streaming  in apple watch and clearing doubt about radio settings.
"user: @115798, I have book flight but recently I notice that the traveller info(birthday) was wrong. Is there anyway to fixed it? thanks. agent: @504181 Sure Ikmal, just attach the guest's passport copy at https://t.co/Lj3Le02aMZ for correction. Thanks. -Floi user: @115798 Whats the last date to do it? I only may get the other 2 person identity card a fay before schedule",The customer made a mistake while booking a ticket and seeks for a help. The agent helped the customer by suggesting him to attach the guest passport copy.
user: @Delta she told me flat out that the ticket I purchased allowed for middle seats only. agent: @427759 I'm sorry for the incorrect information. user: @Delta And for the record - she told me flat out that the ticket allowed for middle seats only.,Customer complaints about getting only middle seat while booking air ticket. Agents informs moving forward he hope to have a  better experience for seating arrangements.
user: FUCKING FIX YOUR GAME YOU STUPID CUNTS IV BEEN STUCK ON LOADING LEVEL FOR ABOUT 40 MINS @122172 @ATVIAssist user: @122172 @ATVIAssist AND DID I MENTION WHEN I LOAD UP SOLO I GET A FUCKING BLACK SCREEN.... agent: @528448 Try fully closing CoD: IW then clear your console's cache (https,Customer is complaining about the loading issue and black screen on the game. Agent suggested to uninstall and reinstall the game and also states that this problem is either with the connection or game itself and asks to DM for further help.
user: @AmazonHelp I pay money for Prime solely because you promise a specified delivery day. user: @AmazonHelp I’ve tried that. the people at your call centre told me that as it’s with the courier there is nothing they can do. agent: @151164 I'm so sorry your package is arriving later than expected! sometimes carrier capacity or other unforeseen circumstances may all affect your delivery date. have you been given a new delivery date?,Customer complains about package being delivered late. Agent directs customer to inform them if he doesn't receive an parcel by given time.
"user: @Delta looking to change my flight Friday, Oct 27. GRMSKV to DL4728 from SLC to ORD. Is that an option and what is the cost? Jess agent: @415507 The difference in fare is $185.30. This would include all airport taxes and fees.",Customer wants to change a flight and want first class seat to purchase for chicago. Agent updated that the charges of ticket is non-refundable and can login to trip.
"user: @XboxSupport Controller works fine except the controller, which freezes. Light still on, no button press reaction and os said controller is disconnected. happens only with the batteries inside though. JL agent: @694217 have you reached out to them to see if they can provide the Scorpio edition? just to be 1 JL user: @XboxSupport Yep. With different other batteries - same issue. Amazon only offers to refund the whole bundle. JL agent",Here customer complain about the controller disconnecting issue where  with Scorpio edition batteries it wont work and customer does not want to loose his branded batteries and tries to get solution. Here agent ask the details about it and assist the customer.
"user: @GWRHelp Your lady on the buffet coach is amazing. Top customer service and she was so polite I purchased a second time. £15 well spent. - Jordan user: @GWRHelp Thanks Jordan, also is there a reason why the train only runs once a week on a Saturday? CA agent: @439201 You're most welcome! Have a smashing day :) - Jordan user: @GWRHelp Make that a 3rd purchase... CA",Customer is happy with the service and also asks about the reason why the train they are on runs once a week on a saturday. Agents updates that they operate earliar direct train from Paignton via Bristol templa meads at 0740 and 1132 via Westbury and also operates Penzance to Paddington train via BRI departing 0741.
"user: i hate you i hate you i hate you @AmericanAir agent: @439231 that's pretty harsh, because we always love having you on board. what's going on? how can we help you? user: @AmericanAir NOPE. DO SOMETHING. agent: @439231 Once you land in PIT, please follow and send us a DM. we'd like to send you a little something for your troubles today.",Customer is complaining for delayed flight from sna to pittsburgh and demands for new flight. Agent states that they cannot promise new flight but will review the reason for the delay.
"summary: user calls Verizon support to ask about router compatibility. agent tells user that any router will work for internet, but not for TV service. user: @VerizonSupport You CAN’T recommend a router that would populate the TV guide &amp; On Demand functions, or you won’t!?","The customer is trying to find out which model of routers from third parties are suitable to use with verizon Fios internet and cable and asks what is the make and model of their router. The agent replies that the customer can use any router for his internet, but for TV service he must use their router."
"user: Dear @Tesco #YouHadOneJob #Halloween2017 agent: @225903 Hi Sandy, the reason for this is because we need a few days advance notice to get the order in. sorry for any disappointment caused - Dani user: @Tesco The point is you can't organise a halloween cake for delivery before 31st October you can only get it on Nov 3? so what is the point?! agent: @225903 The date changes",Customer is requesting to order Halloween cake. Agents informs customer that delivery of cake will be after Halloween.
user: @AppleSupport Siri do t work on IPhone 8plus. Any help. agent: @248326 Let's see what we can do to get your virtual assistant back to working order. user: @AppleSupport The newest one. Two weeks ago. I have disabled and then started again.,Customer enquires that whether the siri will work on iPhone 8plus. Agent asks to create a backup with iTunes or icloud and to update the software  and ask to DM if issue still exists.
"user: @AskeBay how do you Contact the Global Shipping Folks at Pitney Bowes? that is one service that should be scrapped. user: @AskeBay Your offshore phone support is useless. I asked 4 Ebay Supervisor 2 call my husband's Cell last night, my phone rejects out of country Voip &amp; robocalls.",Customer is complaining that the item they ordered from UK was not protected and wants to contact the Global Shipping Folks at Pitney Bows. Agent updates that opening a return will be required for a refund but could expect complete refund and tells that they are unable to provide the contact info of Global Shipping Folks.
"user: @VirginTrains I’m dying for a cup of tea on your 16.53 from Birmingham international @VirginTrains I’m dying for a cup of tea agent: @140074 Sorry about that, we'll be sure to pass this on, Lisa MW user: @VirginTrains Shocking. Not impressed. That’s why I pay for first class agent: @140074 Would you like to take this further and make a complaint?",Customer is complaining about the disappointing service from the train onboard staff and unable to find any. Agent offers to make a formal complaint over the issue with the provided URL.
"user: @Delta the auto checkin on the iOS app checked me in as standby on my flight on which I usually get upgraded. how do I turn it off? agent: @391095 You should be able to turn the automatic check in option off in settings. *HKC user: @Delta I can’t find it.. either on settings and then Fly Delta or just within the fly Delta app. how do I turn it off? agent: @391095 Okay, I understand. Please see",The customer asks how to turn off the auto checkin on the iOS app. The agent suggests to check the profile settings and asks to contact their online support team.
"BT Summary: The following conversation took place on november 24, 2015 at 09:30.",Customer is questioning whether xmas shopping has started yet since PA and HP have not done. Agent updates that they are unaware of this issue.
user: @XboxSupport I get this message when i try to use console it kicked me out immediately. agent: @703719 I went as if I was going to purchase and Xbox 360 game here and didn't run into any troubles.,Customer is unable to claim games with gold games unless it's from a Xbox 360. Agent updates that they went as if they were going to purchase Xbox 360 game and didn't run into any troubles.
user: @VirginTrains We are travelling back to Liverpool from London Euston but only just realised we have to change at Crewe. Tried to change trains but we were asked to pay for another train. My wife is in a wheelchair.,Customer is complaining for charging extra for changing the trains. Agent states that the only way to change journey is by paying the extra fee.
"agent: @757279 how long have you not been able to get red zone?? TDC user: @VerizonSupport Since yesterday when I ""renewed"" my Ultimate HD from an online chat. CAR user: @VerizonSupport NO, just been on hold and back and forth with accounts and tech help.",The customer requesting a help from the agent. The agent asks for a order number and ask him to submit phone number and name for assistance.
"user: @CoxHelp LOVE my contour and this error I get 87% of the time!  https://t.co/r1GZnrOQPg agent: @277428 That's not good, does resetting the box help when you run into this error message? Derrick user: @CoxHelp Sadly it doesn’t. :( agent: @277428 Have you swapped out the box for this issue previously?",The customer was complaining that he is getting an error message 87% of the time. The agent asked them to disconnect the power cord for full 5 mins and then asked to give a try  to order.
"summary: user: @AppleSupport I’m still seeing box’s with question marks on it.. agent: @664381 The 11.1.1 update fixes the auto-correct issues on the device, but it won't fix seeing it on other forms of communication.",Customer is seeing the error with box and question marks on it. Agent suggested the new version of iOS so that it can be resolve for previous posts and messages.
user: @AzureSupport Hi guys we have signed up a trial for log analytics while we test setting up a custom log import. I have tried a hundred times. agent: @242694 Could you please post here: https://t.co/WdHXbaOxkZ and send us the link so we can have an engineer on that team assist. PB user: @AzureSupport Thanks! agent: @242694 Thank you! We have alerted,Customer enquires that they have signed up a trial for log analytics for custom log import and without getting error messages no log import configuration is being added in the list. Agent replied that the forum engineer will look into it and they can reach out for further assistance.
"user: @JetBlue flight 112 from ORD-BOS was delayed then undelayed, now delayed again. What's the scoop? user: @JetBlue sorry I'm not clear...are you suggesting I call O'Hare or JetBlue? agent: @353679 Are you currently at the airport? agent: @353679...flight. Sorry for the confusion. 2/2 user: @JetBlue Ah okay thank you!",Customer is complaining that flight from ORD- BOS was delayed then undelayed and again delayed. Agent updated the most current information only shows the current deparure time and it's likely that there was an aircraft swap to lessen the delay.
user: @Tesco 'pe-ordered' #StarWarsBattlefrontII at your Chichester store. promo card said would receive #StarWarsTheLastJedi skins. user: @Tesco something's gone wrong somewhere? can you help/advise?,Customer is complaining that he is unable to find the promo card offer in the pre ordered game. Agent states that would be inside the packaging and requests to speak to supplier on the issue.
"user: @VerizonSupport Can’t get service on the TV. Haven’t had it for weeks, but every time I call I ultimately hang up because I can’t get anyone on the line. agent: @529736 Disconnect the coax from the back of the box where it says FIOS TV IN, and then reconnect. Let us know if that helps.",The customer says he is not getting service in his TV and says he is now been trying to change services. The agent replies they don't offer support unless the customers have box and suggests to try swapping out the COAX cable.
"user: @AppleSupport I have an iPhone 7+,and 1 week ago,I can’t make calls or receive them,what do? agent: @784254 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs. user: @AppleSupport I have iOS 11.1.2 and I have tried everything what the page said.im Colombian.",The customer says that he can't make calls or receive them and asks whether all his data will be erased if he restores the device. The agent asks what version of iOS installed and asks to restore the phone and also says to discuss  more about the issue in DM.
user: @Safaricom_Care does Mpesa have any delays? I've been sent cash and I haven't got the message yet. SD Summary: We have no issues reported with M-PESA services. did the one sending receive text message? AB user: @Safaricom_Care My SMS's are working fine. Could you call sort this out?,"Customer is complaining about the Mpesa service as they have not received the message after sending the cash. Agent request to DM thier number, full name and ID to check the phone number."
